similarity_gpt_actual,similarity_system_actual
0.9996907114982605,0.9991231560707092
0.9996005892753601,0.9991851449012756
0.9991433024406433,0.9981182217597961
0.9995815753936768,0.9994530081748962
0.9991631507873535,0.9991368651390076
0.9986264705657959,0.9978194832801819
0.9983607530593872,0.9988201260566711
0.9998393654823303,0.9993171095848083
0.9957482218742371,0.9945170283317566
0.9992807507514954,0.9991462230682373
0.9996861815452576,0.999630868434906
0.9997549057006836,0.9988029599189758
0.9991877675056458,0.9989292025566101
0.999293863773346,0.9990969896316528
0.9993255138397217,0.9990691542625427
0.9993224143981934,0.999298095703125
0.9983248114585876,0.9975436925888062
0.9979219436645508,0.9968395233154297
0.9984400868415833,0.9993573427200317
0.9990696310997009,0.9993987083435059
0.999290943145752,0.999610960483551
0.999666154384613,0.9992904663085938
0.9990295171737671,0.9991087913513184
0.9997261166572571,0.9993776082992554
0.99889075756073,0.9962545037269592
0.9994599223136902,0.9993886947631836
0.999700665473938,0.9993405342102051
0.999420166015625,0.9997064471244812
0.9993544816970825,0.9986201524734497
0.9998800158500671,0.9995272755622864
0.9991490244865417,0.9994423985481262
0.9981873631477356,0.9988920092582703
0.9997209310531616,0.9910017848014832
0.9987467527389526,0.9974077343940735
0.9991709589958191,0.9993786215782166
0.9994437098503113,0.9990556836128235
0.9988348484039307,0.9991461038589478
0.9996846914291382,0.9989296197891235
0.9989469051361084,0.9983502626419067
0.9992017149925232,0.9992889761924744
0.9996896386146545,0.998796284198761
0.9992223381996155,0.9995337128639221
0.9996823072433472,0.9994868636131287
0.9990914463996887,0.9991374611854553
0.9998600482940674,0.9996626377105713
0.9970564246177673,0.9961400032043457
0.9994688630104065,0.9994449615478516
0.9989397525787354,0.9991148710250854
0.9995613098144531,0.9994930028915405
0.9988088607788086,0.9991866946220398
