"inputWord","inputType","output","actualOutput"
"k;gJ","Legacy Font Encoding","ம்பது","ம்பது"
"tUlq;fSf;F","Legacy Font Encoding","வருடங்களுக்கு","வருடங்களுக்கு"
"Nkyhfr;","Legacy Font Encoding","மேலாகச்","மேலாகச்"
"risf;fhJ","Legacy Font Encoding","சளைக்காது","சளைக்காது"
"vOjptUk;","Legacy Font Encoding","எழுதிவரும்","எழுதிவரும்"
"v];.","Legacy Font Encoding","எஸ்.","எஸ்."
"nghd;Dj;Jiu","Legacy Font Encoding","பொன்னுத்துரை","பொன்னுத்துரை"
"<oj;J","Legacy Font Encoding","ஈழத்து","ஈழத்து"
">yf;fpa","Legacy Font Encoding","இலக்கிய","இலக்கிய"
"cyfpy;","Legacy Font Encoding","உலகில்","உலகில்"
"kpfTk;","Legacy Font Encoding","மிகவும்","மிகவும்"
"Mokhd","Legacy Font Encoding","ஆழமான","ஆழமான"
"jlk;","Legacy Font Encoding","தடம்","தடம்"
"gjpj;j","Legacy Font Encoding","பதித்த","பதித்த"
"%j;j","Legacy Font Encoding","மூத்த","மூத்த"
"jiyKiwg;","Legacy Font Encoding","தலைமுறைப்","தலைமுறைப்"
"gilg;ghsp.","Legacy Font Encoding","படைப்பாளி.","படைப்பாளி."
"rpWfij,","Legacy Font Encoding","சிறுகதைஇ","சிறுகதைஇ"
"ehty;,","Legacy Font Encoding","நாவல்இ","நாவல்இ"
"ehlfk;,","Legacy Font Encoding","நாடகம்இ","நாடகம்இ"
"fl;Liu,","Legacy Font Encoding","கட்டுரைஇ","கட்டுரைஇ"
"cUtff;","Legacy Font Encoding","உருவகக்","உருவகக்"
"fij,","Legacy Font Encoding","கதைஇ","கதைஇ"
"tpkh;rdk;,","Legacy Font Encoding","விமர்சனம்இ","விமர்சனம்இ"
"CREATIVE","en","CREATIVE","ஊசுநுயுவுஐஏநு"
"ESSAYS,","Romanized Text Encoding","எஸ்ஸாய்ஸ்","நுளுளுயுலுளுஇ"
"Ma;T","Legacy Font Encoding","ஆய்வு","ஆய்வு"
"Nghd;w","Legacy Font Encoding","போன்ற","போன்ற"
"Jiwfspy;","Legacy Font Encoding","துறைகளில்","துறைகளில்"
"Kj;jpiu","Legacy Font Encoding","முத்திரை","முத்திரை"
"gjpj;j","Legacy Font Encoding","பதித்த","பதித்த"
">tuJ","Legacy Font Encoding","இவரது","இவரது"
"jkpo;","Legacy Font Encoding","தமிழ்","தமிழ்"
"eilAk;","Legacy Font Encoding","நடையும்","நடையும்"
"thh;j;ijj;","Legacy Font Encoding","வார்த்தைத்","வார்த்தைத்"
"njhLg;Gk;","Legacy Font Encoding","தொடுப்பும்","தொடுப்பும்"
"jdpj;Jtkhdit.","Legacy Font Encoding","தனித்துவமானவை.","தனித்துவமானவை."
"jP,","Legacy Font Encoding","தீஇ","தீஇ"
"rlq;F","Legacy Font Encoding","சடங்கு","சடங்கு"
"Mfpa","Legacy Font Encoding","ஆகிய","ஆகிய"
